Title,Cleaned_Description
Nothorian,"NOTHORIAN : 창조의 새벽에 하늘과 지옥 사이의 영원한 갈등, 우주가 여전히 빈 캔버스 였을 때, 두 개의 반대 세력, 즉 신들, 빛과 생명의 수호자, 지옥의 군주, 어둠과 파괴의 구체화. Eons의 경우,이 두 진영은 끝없는 전쟁을 벌였다. 신들은 그들의 신성한 능력과 창조의 숙달로 종종이 충돌에서 승리했습니다. 그러나 그들의 본성은 우주의 직물에 묶여 있었고, 시간이 지남에 따라이 직물은 약화되기 시작하여 신들의 힘을 취했습니다. 그들과는 달리, 지옥의 군주들은 불길한 질을 가졌다. 현재 시대의 신성한 황혼의 시대 인 우주 균형은 위험하게 기울어졌습니다. 한때 신성한 권력의 요새가 어두워졌고, 신들은 시간이 지남에 따라 약 해졌고 수많은 전투의 마모가 멸종 위기에 서 있습니다. 영원한 적의 취약성을 감지 한 지옥의 군주들은 필멸의 세계에 대한 분노를 불러 일으킬 수있는이 기회를 포착했습니다. 악마와 지옥의 생물의 무리는 깊이에서 나오고, 혼란을 일으키고 그들의 깨어 난다. 한때 신성한 경계에 의해 보호 된 필멸의 영역은 이제 어두운 세력의 자비에 자신을 발견합니다. 영웅들의 깨어 난 절망의 절망적 인 행위에서 신의 임박한 위협에 직면했다. 그들은 용기와 마음의 순결을 보여주는 사람들에게 신성한 축복을 주어 지옥의 군주와 군단에 대항 할 수있는 능력을 부여합니다. 심연의 위기에 처한 세상의 희망의 소지자 인이 축복받은 영웅들은 어둠에 대한 마지막 방어선으로 서 있습니다. 그들의 사명 : 불명예의 침략을 막고, 우주 균형을 회복시키고, 가능하다면 타락한 신들을 그들의 힘으로 되 돌리는 방법을 찾으십시오."
Cosmic Clash,"우주 충돌은 최소한의 아케이드 슈터로, 당신이 선택한 스타 전투기에서 친구들과 싸우는 것입니다. 임의의 사건을 통해 길을 짜는 동안 정밀 비행 및 사격 또는 방어 유틸리티로 적의 탄약을 피하거나 파괴하십시오. 마지막 선수가되어 Clash Champion이 되십시오. 로컬 멀티 플레이어, 온라인 또는 호스트 컴퓨터에 연결하는 로컬 플레이어와 혼합되어 있습니다. 원격 재생 지원."
我想要你的心,이것은 플랫폼 점프 게임입니다. 금화와 하트를 수집하여 소녀의 마음을 얻을 수 있습니다. 도로에서 사람들을 해칠 마음과 괴물을 조심하십시오. 마음을 모으십시오!
Pawggle,한 가지 간단한 규칙 : 공이 떨어지기 전에 게임 보드에서 모든 빨간 페그를 제거하십시오. Pawggle은 캐주얼 페글/파친 코 스타일 게임이지만 이번에는 바이저에서 멀어집니다. 당신이 당신의 모피 동반자들을위한 안내 손이되는 세상으로 들어가서 전략적으로 파란색 못을 배치하여 그들을 돕습니다. 특징 : 5 개의 사랑스러운 모피 생물이 일련의 도전적인 수준을 정복하도록 도와주십시오. 공이 당신의 기술을 실행하지 않고 리더 보드에서 1 위를 차지하려고 시도하십시오.
Project Z: The beginning of the end. Chapter I,"Project Z는 Topdown View Tower & Defense Game으로, 미래의 묵시적인 도시에 설정되었습니다. 타이틀은 Parisi Interactive Games에서 PC 용으로 독점적으로 개발되었습니다. 게임 시스템은 좀비 공격으로부터 자신을 방어하기 위해 함정을 배치하면서 대피소를 방어하는 것으로 구성됩니다. 우리는 인간 실험 실험실이 죽은자를 다시 살아날 수있는 물질을 개발하려고하는 2025 년으로 당신을 운송합니다. 그러나 누구의 실험은 옳지 않았으며, 이제 세상은 한때 아는 것이 아닙니다. 우리의 캐릭터 (레너드)는 대피소를 공격하는 것이 목표 인 좀비의 파도에 대해 혼자서 직면하고, 이러한 공격을 포함시키기 위해 레너드는 레벨에 걸쳐 함정을 배치하고 그가 소유 한 몇 가지 무기를 사용할 것입니다. 특별한 특징 : 트랩을 사용하려면 레벨에서 배포되거나 좀비를 죽임으로써 많은 돈을 모아야합니다. 당신이 사용할 무기는 재생 불가능한 캐릭터가 제공 할 것입니다. 맵에 표시된 핵심 포인트에 대한 아이디어를 얻기 위해 레벨을 탐색합니다. 방어 재생을 천천히 준비하기 위해 파도가 자동이 아니기 때문에 웨이브 콜 버튼을 누릅니다. 온건 한 폭력과 고어를 포함합니다"
Salaryman RESCUE!,"이 게임에 대한 vr-exclubor Senaryman Rescue에 대해 🏙️! 도쿄의 도시 팝 키스 거리 인 Vibey에 당신을 aske니다. Zany Physics Toys 및 자동화 관리를 사용하여 퍼즐의 물결 후 파도를 해결하고 도쿄 교통량과 UFO 납치의 다가오는 위협을 피하십시오! --- 🍺 주요 특징 🍺 CityPop Vibes : 네온 조명 분위기에 담그고 파동하고 꿈꾸는 미학, CityPop 향수를 완벽하게 포착하십시오! Salarymen! ∎ 도전적인 파도 및 퍼즐 : 모든 파도는 각각 여러 솔루션을 갖춘 독특한 도전을 제시합니다. 급여 담당자를 안전하게 집으로 안내하는 가장 효율적인 방법을 전략화하고 실험하며 가장 효율적인 방법을 찾는 것은 귀하에게 달려 있습니다. 🚗 Ragdoll Hilarity : 경고를 유지하십시오! 번화 한 교통량은 우리의 부주의 한 급여 담당자에게 친절하지 않습니다. 재미 있을지 모르지만 과속 차량이 거리를 가로 질러 라갈 링을 보내지 않도록 노력하십시오. UFOS에 대한 조심 : 다양한 도구와 전술을 사용하여 방황하는 급여 담당자를 납치하려는 하늘을 보호하고 방해하는 UFO. Coin-Operated Mechanics : 생생한 거리를 탐색하여 숨겨진 동전을 발견 한 다음 다양한 코인 작동 기계에 사용하여 새로운 전략과 솔루션을 잠금 해제하십시오. --- 네온에 젖은 모험을 시작할 준비가 되셨습니까? 이 월급은 스스로 구출되지 않을 것입니다! VR 헤드셋을 잡고 오늘 구조 임무에 참여하십시오!"
G-Scramble,개요 수직 스크롤 2D 촬영 게임 두 가지 유형의 선박 중에서 선택하고 무대를 공격하십시오! Armament Main Shot [폭격기 옵션 [시스템 증기 성과
Can Strike,"“Can Strike”에서, 당신은 Fish Co의 근로자로 플레이하며, 그곳에서 직원들은 더 나은 근로 조건과 공정한 임금을 요구하기 위해 파업을 시작했습니다. 그러나 회사는 물러서지 않았습니다. 그들은 파업을 깨고 노동자들을 직장으로 강제하기 위해 로봇의 물결을 보냈습니다. 노조의 일원으로서, 당신은 로봇 맹공격에 대해 자신과 동료 노동자들을 방어 할 강력한 무기를 받았습니다. 기술과 전략을 사용하여 로봇을 파괴하고 스트라이크를 계속하십시오. 당신의 일과 생계의 미래가 위험에 처해 있습니다. 당신은 당신의 입장을 잡고 정의를 위해 싸울 수 있습니까? 강렬한 액션, 도전적인 게임 플레이, 그리고 그립있는 스토리 라인 인“Can Strike”는 생존을위한 서사시 전투입니다. 싸움에 참여하고 당신의 권리를 방어하십시오!"
Wheel of Innocence,"Wheel of Innocence는 이야기 전체에서 선택을 선택함으로써 Reina가 자신과 주변 사람들에게 열려도록 도와주는 선형 시각적 소설입니다. Reina뿐만 아니라 그녀와 가까운 다른 어두운 과거에 대해 자세히 알아보십시오. Reina는 현재 고등학교의 작년에 있습니다. 그러나 최근에 심각한 유능주의 괴롭힘으로 인해 학교를 바꾸었고 깨끗한 슬레이트로 마무리하기를 희망합니다. 새해에 며칠이 지난 후 그녀는 자원 봉사 조수, 미즈키라는 친절하고 뛰어난 급우들에게 소개됩니다. 첫 학기의 나머지 기간 동안 그들은 학교 생활의 어려움에 대해 유대를 맺고 그 아래에 더 돋보이는 무언가와 친한 친구가되지만 수평선에서 갈등 양조가 없으면 아닙니다. 그들은 그들의 문제에 직면 해있을 것인가, 아니면 그들을 묶는 것들에 대한 이해를 잃을 것인가?"
Ranger Danger,"Mountain View National Park의 Park Ranger로서, 당신의 직업은 오늘 밤을 제외하고는 꽤 평범 할 수 있습니다. 나무와 덤불 사이에 무언가가 숨어 있고 이제는 야영자가 사라졌습니다. 사람들은 이상한 소음, 시끄러운 스톰 핑, 이상한 트랙 인쇄를보고했지만 아무도 그 지역에서 큰 동물을 발견하지 못했습니다. 그것은 단지 또 다른 곰입니까, 아니면 ... 더 나쁜 것입니까? 이 1 인칭 스텔스 기반의 공포 게임에서 야영 자들이 실종 된 진정한 이유를 발견하기 위해 Park Ranger로 플레이하십시오. 주변의 회피 기술과 도구를 사용하여 실종 된 야영 자에게 일어난 일의 징후를 위해 공원을 탐험하십시오. 손전등 배터리가 제한되어 있으므로 전원을 절약해야합니다!"
Lie of Caelum,"⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ""내 창조물을 목격하십시오."" ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ 재능있는 개인 그룹은 카즈리에 들어갈 때 궁극적 인 도전을 맡습니다. 흐름 에너지라는 천연 자원을 조작하는 데 선물을받은 사람들을위한 연구소. 이 사람들은 자신의 힘 뒤에있는 미스터리를 밝혀 내지 만 그들의 삶은 변화해야합니다. 여행 내내, 그들은 Caelum의 전 세계에서 정치적, 사회적 갈등에 직면하게 될 것입니다. Caelum의 Lie는 전투와 풍부한 이야기에 중점을 둔 JRPG입니다. 이 제목에는 탐사, 미니 게임, 퍼즐 및 하드 코어 플레이어조차도 감사 할 다른 측면이 포함됩니다. 당신이 예상치 못한 것을 기대할 것으로 기대하는 향수적이고 신비한 세상에 몰입하십시오. 특징 : Xinput Hi-Octane Combat 및 도전적인 보스 무기, 기어 및 플레이 스타일을 변경하거나 역할이 아닌 우정/관계 시스템이 아닌 난이도 설정을 강화할 수있는 기타 품목을 통한 턴 기반 입력 콤보 전투 시스템 컨트롤러 지원. ""Astral""모드는 더 쉬운 시간을위한 ""Astral""모드와 게임의 의도 된 난이도에 대한 ""진정한""모드입니다. 둘 다 게임 엔드 게임 컨텐츠의 주요 전제와 관련된 스토리, 적의 행동 및 기타 전투 역학적 측면에 영향을 미칩니다."
ASU Global,흥미 진진한 mmorpg의 시작. ASU의 세계에서 새로운 모험을 시작하십시오. ▶ 게임 소개 여기에 도움이 필요한 세상이 있습니다. 어두운 신 Exilis는 강력한 힘으로 세상을 파괴하려고합니다. 빛의 신인 Anitas는 Exilis와 싸우지 만 힘이 부족합니다. 우리는 세상을 파괴로부터 구하기 위해 당신의 도움이 필요합니다. 당신의 도움은 세상을 구하는 데 큰 도움이됩니다. 지금 가입하십시오. ▶ 특성 - 세련된 MMORPG- 파티 플레이 5 가지 고유 클래스의 조합. - 거대하고 강력한 필드 보스 몬스터와 전투. - 더 강해지는 가디언 시스템이 더 많이 결합 될수록. - 성장함에 따라 강해지는 길드 시스템.
South Pole Bebop,"여기 PvPvE 턴제 전략 게임을 소개합니다! 체스와 같이 9x9 보드에서 게임이 펼쳐지며 각자 다른 능력을 지닌 캐릭터 중에 셋을 선택하여 이들을 조종하고, 카드덱을 만들어 기지를 업그레이드하고 캐릭터에게 특별한 능력을 부여하며 전략적 수싸움을 즐길 수 있습니다. 당신 내면의 전략가 기질을 발휘하여 좀비 킬러이자 남극의 구원자가 되어보세요. 게임 도중 카드를 사용하여 캐릭터에게 특별한 능력을 부여하거나 필요한 것을 보충하고(예를들어 힐), 기지의 내구도를 강화하세요. 게임 전 메인 메뉴에서 카드 덱을 수정할 수 있으며, 다양한 카드를 추가하거나 제거하여 최상의 능력과 업그레이드 조합을 만드세요. 덱을 현명하게 선택하세요, 그것이 게임 결과를 결정할 수도 있습니다. 게임 플레이 스타일에 적합한 클래스를 선택하고 좀비 떼와 상대의 공격으로부터 기지를 방어하세요. 캐릭터를 레벨 업하고 게임이 어려워짐에 따라 새로운 전략을 만드세요. 각 캐릭터는 모두 독특한 능력을 갖고 있으며 카드로 커스터마이즈 할 수있습니다. 현재 캐릭터 클래스는 근접, 원거리, 포격 중에서 선택할 수 있습니다. 좀비들은 게임이 진행되면서 계속 땅에서 생성되어 나와 상대방을 공격합니다. 좀비를 파괴하고 레벨을 올리거나 좀비를 제어하고 상대방을 향해 공격하도록 만드세요. 여러 종류의 좀비가 있습니다. 각 유형의 좀비는 공격에 사용하는 독특한 능력이 있습니다. 그들이 땅에서 나오기 전에 타일 위에 올라가 막아보세요."
Keks Slot Machines,Application Casino Keks Slot Machines의 플레이어의 장점 : 승리 슬롯은 Melbet Casino Colorgel Slots Graphics 고품질 사운드 트랙에서 무료 스크롤을 얻습니다. 보너스
Deluge: Sermon for the Dead,"내가 당신에게 부르는 깊이에서 - - 자비에 대한 울음 소리를 들었습니다. Abbotsford는 고등학생을 대상으로 한 납치 사건에 충격을받습니다. Ina가 Abe에게 그녀의 조사에 도움을주기 위해 입대 할 때, 그들은 음모와 공포의 웹에서 그들을 가장 깊은 바다의 깊이로 끌어 당깁니다. 그 동안, 시의회 선거를위한 캠페인이 시작되었습니다. 정치적 싸움은 항상 높이 올라가는 반면, 마리아 인 마리사 (Marisa)는 중심 무대를 차지합니다. 그녀는 안정성을 약속하지만, 경이없는 권력에 대한 식욕은 눈에 반짝입니다. DELUGE : Sermon for the Dead는 심리적 및 Lovecraftian의 톤을 가진 대화 형 비주얼 소설입니다. 선택이 중요한 곳에 신중하게 제작 된 미스터리 비주얼 소설이 특징입니다. 탐험해야 할 세 가지 다른 결말 경로가 총 8 개의 다른 엔딩으로 이어집니다. (3 좋은, 5 가지 나쁜 결말.) 캐릭터와 수많은 설정을 가진 몰입 형 게임 세계. 직관적 인 사용자 인터페이스. 여러 시간에 걸친 비 반복적 인 대기 사운드 트랙."
Peek a Boo,"다수의 보이 스카우트가 버려진 집 안에서 밀려서 용기 도전을 통과합니다. 그들이 알지 못하는 것은 도전을 조직하고 집 안에서 괴물 같은 비밀을 숨기는 에델 (Ethel)입니다. 열렬한 보이 스카우트 중 하나의 역할을 수행합니다. 열쇠를 모으고, 소리를 내지 않고 방을 돌아 다니며, 어둠 속에서 숨기고, 저주받은 집에 거주하는 악마로부터 도망칩니다. 깍꿍!"
Mean Beans,"평균 콩은 빠르게 진행되는 무료 배틀 로얄 FPS로 온라인이나 친구들과 죽음과 싸울 수 있습니다! 독특한 무기와 100 개 이상의 모자로 친구를 스타일로 죽이십시오! 이 말도 안되는 액션으로 가득 찬 사수에 서있는 마지막 콩과 식물이 되십시오! 온라인 멀티 플레이어 - 랜덤이나 친구를 죽이는 콩은 2-10 명의 플레이어가 빠르고 강렬하며 미친 콩 전투에 참여할 수 있습니다. 친구를 죽이거나 온라인으로 적을 죽이 든, 마지막 콩의 꿈은 마지막 콩과 식물이되는 것입니다. 미친 로켓 발사기에서 어리석은 멍청이 총에 이르기까지 엉뚱한 무기를 통해 콩은 다른 콩을 수십 개의 독특한 무기로 주스 할 수 있습니다. 화염 방사기로 자신만의 콩을 만들거나 수류탄 발사기로 조금 더 극단적으로 행동하십시오. 모두 콩과 전쟁에서 공정합니다! 마지막 콩과 식물이 되십시오! 이 빠르게 진행되는 Battle Royale Beananza는 마지막 플레이어가 살아있는 것보다 다른 방식으로 자신을 증명할 수 있습니다. 다른 콩을 죽이고 승리를 수집하여 점수를 높이고 궁극적으로 가장 높은 점수를 얻은 플레이어가 승리하십시오!"
AMBER Battle Royale,"앰버 플레이-차세대 무료 플레이 배틀 로얄. 비행기에서 Misfit Island로 점프하고 제트 팩으로 착륙하십시오. 배틀 로얄, 제거, 데스 매치의 세 가지 PVP 모드로 무기를 모으고 적을 파괴하십시오. 응급 처치 키트, 방패 및 연료를 수집하십시오. 한 번의 경기에서 최대 200 명의 플레이어! Battle Royale : 섬으로 비행기를 타고 차세대 Battle Royale을 타십시오! 제트 팩과 함께 착륙하여 전투 중에도지도를 가로 질러 날아가십시오. 게임 중에 지속적으로 축소되는 구역을 피하십시오. 모든 무기를 모으고 탄약과 방패를 구입하십시오. 모든 적을 죽이고 왕실 승리 제거를 기록하십시오. 배틀 로얄과 동일하지만 이번에는 비행기에서 떨어질 필요가 없습니다. 대신 4 명의 삶으로지도에서 스폰됩니다. 당신과 당신의 적들은 끊임없이 수축하는 지역에 의해 더 가까워 질 것입니다. 용감하고 가장 강한 선수는 다른 모든 플레이어와 싸우는 전통적인 전투 모드입니다. 이기려면 25 명의 킬을 축적하고 다양한 무기, 수류탄 및 제트 팩을 사용하여 플레이 스타일을 찾고 모든 적을 물리 치십시오. 기능 - 한 번의 경기에서 최대 200 명의 플레이어 - 지연 보상을 가진 현대 멀티 플레이어 서버 - 제트 팩으로지도를 가로 질러 비행 - 권총에서 폭행 및 스나이퍼 소총에 이르기까지 다양한 무기 - 현대와 고대가 만나는 판타지 세계"
Exhibitors,"가스 거인의 구름 안에는 가스 거인의 초가 생물이 하늘을 차지하며 각 생태계를 보여줍니다. 전시 업체는 농업 및 탐사 요소가있는 공장 건물 게임입니다. 가스 거인 안에서 깊은 곳을 탐험하면서 구름 아래에서 생명을 찾을 것으로 기대하지 않았습니다. 면밀히 검사하면 전시 업체라는 대규모 부유물 생물이 관찰 될 수 있으며, 각각의 등에 생태계를 들고 있습니다. 이 생태계는 전시 업체의 크기, 재료 구성 및 온도에 따라 광범위하게 다양합니다. 당신은 생태계와 그들을 사는 유기체에 대해 배우 면서이 각 생물 군계를 탐험하기로 결정합니다. 당신이 그들에 대해 더 많이 배우면서, 당신은 목장과 농업을 시작하기로 결정합니다. 결국 유기체를 계속 연구함에 따라 생산과 효율성을 높이기 시작합니다. 이로 증가 된 생산은 부모 생물과 생태계에 천천히 해를 끼칩니다. 좋은 점은 항상 새로운 생태계와 더 큰 생태계 사이를 찾을 수 있습니다. 특징 : 다른 세계를 탐험하십시오. 각 생물 군계에는 10 개가 넘는 식물과 동물이 관찰 할 수 있습니다. 각 생물체/생태계는 그 안의 식물과 동물이 자신의 생물학적 틈새로 진화 한 자신의 방식으로 독특합니다. 이 유기체에 대해 배우고 관찰하고 연구하여 그들의 행동을 이해하십시오."
SmileXCorp 3,Smilexcorp Saga의 세 번째 할부를 입력하십시오. X- 코퍼레이션에 직면하고 지옥의 열차에 숨겨진 공포에서 살아남습니다. 저항을 돕고 회사의 열차에 침투 한 후에는 상황을 통제하고 내부에서 적과 싸워야합니다. 당신은 당신이 적의 선에 침투하기위한 저항에 접종 된 바이러스가 당신이 기대하지 않은 능력을 부여했음을 알게 될 것입니다. 이제 당신은 동등한 용어로 싸울 수 있습니다! 특징 : - 고품질 그래픽 - 어두운 적을 가진 AI 개발 - 다른 레벨과 시나리오 - 완전하고 쉬운 퍼즐에 재미. - 전자 장치를 제어하고 해킹하여 승리합니다. - 긴장된 분위기를 조성하는 3D 사운드
Dust and Aliens,"Dust and Aliens는 미래의 서부 우주에 위치한 빠른 FPS Roguelite로, 플레이어는 다른 경기장에서 외계인의 파도와 싸워야하는 카우보이의 역할을 수행합니다. 게임의 목표는 다양한 경기장을 통해 최대한 높은 점수를 얻고이 점수를 사용하여 업그레이드를 구매하고 가능한 한 멀리 게임의 최종 보스를 물리 치려고 노력하는 것입니다. 특징 : 경기장 : 게임의 다양한 경기장을 여행하고 외계인 위조의 무리와의 싸움 : 무기를 키우기 위해 무기를 키우십시오."
VED: Purification,"VED는 독특한 턴 기반 전투 시스템과 불량 조명 요소를 갖춘 스토리 중심의 RPG입니다. 놀랍고 손으로 그린 ​​그래픽으로 생생한 세상에서 마법의 모험을 시작하십시오. 신비한 섬을 탐험하고, 괴물을 물리 치고, 베드의 마법을 마스터하십시오! 무료 버전 ""Purification""은 메인 게임의 프롤로그 역할을하므로 전투 시스템, 이야기 스타일 및 마법의 세계 사이의 순간 이동을 샘플링 할 수 있지만 전체 이야기를 망칠 수는 없습니다! 이 사건은 VED의 이야기 전 30 년 전에 설정되며, 마법의 존재와 사랑에 빠진 Dook이라는 이름의 Vedic Warrior, 다른 성격에 따라 설정됩니다. 그러나 Vedic 질서가 마법과 평범한 세계를 분리시키기 위해 맹세함에 따라 인간 세계의 마법의 유사성을 제거하기 위해 그들의 복잡한 사랑 이야기입니다. 그리고 그것이 어떻게 끝날지 결정하는 것은 당신에게 달려 있습니다…"
无尽战线 Infinity War,《无限封锁》讲述了一个看似熟悉却又不为人知的二战故事以及全新架构故事线，在这个史实与幻想融汇交织成的全新战争世界，你会遇见，无数你能想到的坦克和他们的传奇指挥官，亲身体验和操控无数经典战役，诺曼底登陆，莫斯科保卫战等上百场真实战役场景体验让你一次性过瘾！ 玩家全程即时战斗操作，全程把控战场一草一木细节，不再是扮演屏外看客，零碎时间指尖操作，每一次的操作都将产生不同结果。全民体验到火爆激情的战争场面，凶猛残酷的钢铁战车，用铁血意志铸就不屈战魂~ 游戏特色： 《无尽战线 Infinity War》采用沙盘式即时战斗操作玩法，摆脱了老旧的“分镜看大片”的第三者视角，摆脱了“回合轮流炮”的繁复等待。俯瞰视角，玩家全程把控战场一草一木细节，即时战斗。 通过攻击弹药库，攻击战场医疗包等，可以在对战过程中，有效的减少对方战斗力。 多维阵营科技发展 《无尽战线 Infinity War》中玩家需要以指挥官的身份发展科技，同时也要兼顾自身对的战斗力。各种优良的配件可以让指挥官武装打造独特的部队，而不同阵容的将领技能同时也能补充遗漏的战力。军团中的将领们也会运用一些专属的技能，来鼓舞战斗中坦克的士气以及攻击力。 世界征服，国战来袭 《无尽战线 Infinity War》中的军团及世界征服战。让玩家寻找志同道合的盟友组成军团联盟，体验不同种搭配的坦克兵团的组合，冲击世界战争BOSS的难度。 各位指挥官们，欢迎进入无限封锁的铁血世界，感受那个年代的战火纷飞，操控最经典的坦克，掌控整个战场的节奏，书写属于你自己的荣耀！！！！
Shotgun Shenanigans,Shotgun Shenanigans는 축구와 FPS를 결합하여 운동 기반 스포츠 게임을 만듭니다. 각 플레이어는 산탄 총으로 휘두르고 움직임을 위해 사용하여 공을 그물로 옮깁니다. 공개 경기에서 또는 친구와의 개인 경기에서 플레이하십시오. 4 게임 모드 : 축구 후프 녹아웃 배구 공식 불화 채널에 가입
Planet Breakout 2,"C ++ 및 Direct2d로 작성된 완전 무료 및 오픈 소스 브레이크 아웃 클론. 이 공간 테마 브레이크 아웃 게임에는 독특한 파워 업, 내장 레벨 편집기, 높은 점수 및 쉬운 모드 지원이있어 새로운 벽돌과 캠페인을 추가합니다. Planet Breakout 2는 2007 년에 제작 된 원래 게임의 속편으로, 원래 4 : 3 종횡비와 맛있는 Chunky 프로그래머 아트에 충실합니다."
Traveler's Bastion,"주로 뱀파이어 생존자와 식물 대 좀비에서 영감을 얻었습니다. 차선 사이를 이동함에 따라 자동으로 공격하고 캐스트 된 군인들로부터 각각을 방어합니다. 각 파도의 끝에서, 당신은 당신을 도울 세 가지 능력 중 하나를 선택합니다. 네 군대의 침략에서 살아남아 승리하십시오! 타워 방어 요소가있는 호드 생존 게임 플레이는 20 분 만에 5 개의 다른 영역으로 이동하여 동맹국을 모집하여 사이드 레인 도로 라이트 진행 비밀을 방어하는 데 도움이됩니다. -Jerome Labelle / Simon Labelle👋"
White Mourning: Museum In Pale,"이것은 디스코 엘리시움 팬 게임입니다. 픽셀 RPG의 방식으로,이 박물관은 Fanart 컬렉션 인 White Mourning의 삽화를 전시하도록 만들어졌습니다. 해리처럼 자유롭게 돌아 다닐 수 있습니다. 게임에는 몇 가지 퍼즐이 포함되어 있으며 선형 작업이나 플롯이 없습니다. 시간은 여기에 유효하지 않습니다. 그냥 탐험하고 수집하십시오.이 박물관은 당신에 관한 것입니다, 해리."
One Last Time,"인생은 즉시, 때로는 잘못된 방식으로 변할 수 있습니다. 누군가를 가까이에서 잃은 후, 신비한 사람이 당신의 삶을 되찾아 주도록 도와줍니다. 이 흥미로운 퍼즐 중심의 대화 경험에서 슬픔의 단계를 극복하고 이야기가 어떻게 전개되는지보십시오. 짧고 달콤하고 솔로는 기억에 남는 대화와 단순하면서도 재미 있고 퍼즐로 가득 ​​찬 인디 게임을 개발했습니다. 두 사람 간의 대화를 통해 이야기하는 설득력있는 이야기가 특징입니다. 50 편안한 그리드 기반 퍼즐. 자신을 표현하는 다른 의상. 추가 부수적 인 이야기. 진정 배경과 평온한 음악. 아름답고 최소한의 예술 스타일."
Ok I Pull Up,"이 3D Rage 플랫 포머에서 베이비 카피 바라로 당겨! Capybara는 검역 된 나무 타워를 피하기 위해 점프 기술을 사용해야합니다. 원활한 세상을 탐험하고 세 가지 독특한 수준으로 나뉩니다. 타워의 끝에 도달하여 상상할 수없는 보상을 청구하십시오. 도전적이고 기술 기반 게임 플레이는 점프를 놓치고, 가을을 잃고, 모든 진전을 잃어버린 것만으로도 탑을 오르면 기억에 남는 측면 캐릭터와 함께 귀여운 테마 몇 가지 재미있는 플랫폼과 도전적인 장애물 로이 게임은 당신의 인내심을 극단으로 테스트합니다. 행운을 빌어요. *이 게임은 9 주에 걸쳐 생성 된 학생 프로젝트입니다."
Extreme Tag!,"극단적 인 태그! 재미 있고 빠르게 진행되는 플랫 포머 파티 게임입니다. 태그는 Extreme Tag!의 주요 게임 모드입니다. 한 선수는 그것을 선택하고 30 초 후에 폭발합니다. 그러나 그들이 다른 선수를 만나면 폭탄을 전달하고 몇 초 더 추가됩니다. 남은 마지막 선수가 승리합니다! 감염에서 한 명의 플레이어가 선택됩니다. 그들은 시간이 다가 오기 전에 다른 플레이어들에게 그들을 감염된 다른 감염으로 전환하도록 태그해야합니다. 시간이 다 떨어지면 모두 감염되지 않은 모든 사람이 승리합니다! 숨바꼭질에서, 한 선수는 구직자로 선정됩니다. 이 플레이어는 한 손으로 한 손으로 다른 모든 플레이어를 찾아서 시간이 다가 오기 전에 태그를 지정해야합니다. 시간이 다가 오면 다른 모든 플레이어가 승리합니다! 레이저 태그는 모든 플레이어가 레이저 총으로 서로를 제거하여 포인트를 얻는 데 무료 게임 모드입니다. 특정 간격으로 한 명의 플레이어가 선택됩니다. 그런 다음 1 대신 킬 당 3 점의 가치가 있지만 제거 될 때까지 머무를 것입니다. 15 점을 얻은 최초의 선수! 우리 자신의지도 제작자와 함께 나만의지도를 만드십시오! 기존 .fbx 파일을 기본으로 가져 오면 객체에 음악을 추가하고 색상을 변경할 수 있습니다. 플레이어의 셔츠, 바지 및 신발을 사용자 정의하여 원하는 색상이 되십시오! 모자는 매장에서 구매할 수 있으며 모든 플레이어에게 몇 가지 무료가 제공됩니다. 또한 레벨을 올릴 때 더 많은 모자를 무료로 얻을 수 있습니다! 우리는 플레이어 가이 재미있는 게임에서 자신을 가장 잘 표현하기 위해 다른 의류 색상 테마를 시험해 볼 것을 권장합니다!"
Cursed,당신은 저주받은 영혼의 책을 찾기 위해 임무를 수행하지만 흥미로운 독서보다 더 많은 것이 있음을 빨리 알게됩니다. 이 잊혀진 장소를 탐험하여 생명을 구하는 데 필요한 의식을 수행 할 물건을 찾아야합니다. 특징 : 진행 상황에 근거한 어려움 증가를 탐구하기위한 독특한 관심 지점 ... 그냥 너무 오래 머무르지 말고 충분한 서스펜스
The Hellchemist,"그림 : 풍미 텍스트 : 전쟁에 의해 황폐화 된 세상에서 사람들은 지하 대피소를 찾았지만 일부는 너무 깊고 욕심이 너무 욕심이 많았습니다. 이제 그들은 그들의 가치를 증명하기 위해 태양 하나님의 경기장에서 싸워야합니다. Hellchemist는 강렬한 PVE 아레나 슈터로, 당신은 몬스터의 파도와 싸우는 반면, 하나의 완전히 임의의 이벤트는 10 초마다 발생합니다. 이 게임은 Doom, Quake 및 Devil Daggers에서 큰 영감을 받았습니다. Hellchemist 특징 : 많은 독특한 적들에 대한 힘을 테스트하십시오. 살인은 다양한 무기로 적들을 말했다. 10 초마다 게임을 변경하는 임의의 이벤트. 진화하는 플레이 지역. 리더 보드의 꼭대기에 도달 할만 큼 오래 살아 남았습니다. 토끼 홉과 속도 향상을 허용하는 구식 운동. 현대화 된 구식 그래픽. Meithius가 만든 강렬한 중금속 음악. 폭발"
